"","Lfd. Nr.","Konzentrationslager und Außenkommandos","Konzentrationslager und Außenkommandos","Hauptlager der Außenkommandos"
"649","373","","1.3.1944 bis 14.4.1945",""
"650","374","Eschershausen, Kreis Holzminden,","Eschershausen, Kreis Holzminden,","Buchenwald"
"651","374","","bis 3.4.1945",""
"652","375","Espeland/Norwegen,","Espeland/Norwegen,",""
"653","375","","ab 1.1.1942",""
"654","376","Espenthor/Tschech.,","Espenthor/Tschech.,",""
"655","376","","9.11.1938 bis 30.6.1939",""
"656","377","Essen,","Essen,","Buchenwald"
"657","377","","ab 13.12.1943",""
"658","378","Essen-Werden, siehe Werden","Essen-Werden, siehe Werden",""
"659","379","Esterwegen, ab 4.3.1933, mit Unterkommandos Bad Zwischenahn, Edewechterdamm, Einbeck, Emden, Oldenburg, Plantlünne, Preußisch-Oldendorf und Rastdorf (siehe alle dort)","Esterwegen, ab 4.3.1933, mit Unterkommandos Bad Zwischenahn, Edewechterdamm, Einbeck, Emden, Oldenburg, Plantlünne, Preußisch-Oldendorf und Rastdorf (siehe alle dort)",""
"660","380","Ettersberg, siehe Buchenwald","Ettersberg, siehe Buchenwald",""
"661","381","Eule, Kreis Neurode (früher: Kreis Glatz)/Niederschlesien, Kdo. v. Wüstegiersdorf,","Eule, Kreis Neurode (früher: Kreis Glatz)/Niederschlesien, Kdo. v. Wüstegiersdorf,","Groß Rosen"
"662","381","","1.4.1944 bis 13.1.1945",""
"663","381a","Eutin/Oldenburg (Männer),","Eutin/Oldenburg (Männer),",""
"664","381a","","ab 1.7.1933",""
"665","","F","F",""
"666","382","Falkenau = Falknov bei Karlsbad/Tschech., Kdo. v. Zwodau,","Falkenau = Falknov bei Karlsbad/Tschech., Kdo. v. Zwodau,","Flossenbürg"
"667","","","bis 8.5.1945",""
"668","383","Falkenberg, Kreis Neurode (früher: Kreis Glatz)/Niederschlesien, Kdo. v. Wüstegiersdorf,","Falkenberg, Kreis Neurode (früher: Kreis Glatz)/Niederschlesien, Kdo. v. Wüstegiersdorf,","Groß Rosen"
"669","","","15.4.1944 bis 8.5.1945",""
"670","384","Falkenhagen, siehe Briesen","Falkenhagen, siehe Briesen",""
"671","385","Falkensee/Brandenburg,","Falkensee/Brandenburg,","Sachsenhausen"
"672","","","8.3.1943 bis 25.4.1945",""
"673","386","Falknov, siehe Falkenau","Falknov, siehe Falkenau",""
"674","387","Fallersleben,","Fallersleben,","Neuengamme"
"675","","","bis 8.4.1945",""
"676","388","Falstad i. Ekne/Norwegen,","Falstad i. Ekne/Norwegen,",""
"677","","","ab 1.12.1941",""
"678","389","Farge, siehe Bremen-Farge","Farge, siehe Bremen-Farge",""
"679","390","Farschweiler über Hermeskeil, Kreis Trier,","Farschweiler über Hermeskeil, Kreis Trier,","Hinzert"
"680","","","bis 5.3.1945",""
"681","391","Faulbrück, Kreis Reichenbach/Niederschlesien,","Faulbrück, Kreis Reichenbach/Niederschlesien,","Groß Rosen"
"682","","","ab 16.6.1944",""
"683","392","Feistenau bei Fischbachau, siehe Valepp","Feistenau bei Fischbachau, siehe Valepp","Dachau"
"684","393","Feldafing, Kreis Starnberg,","Feldafing, Kreis Starnberg,","Dachau"
"685","","","6.4.1942 bis 23.4.1945",""
"686","394","Feldberg, Kreis Neustrelitz","Feldberg, Kreis Neustrelitz","Ravensbrück"
"687","395","Feldmoching/Bayern","Feldmoching/Bayern","Dachau"
"688","396","Findorf, siehe Bremen-Findorf","Findorf, siehe Bremen-Findorf",""
"689","397","Finkenwerder, siehe Hamburg-Finkenwerder","Finkenwerder, siehe Hamburg-Finkenwerder",""
"690","398","Finow/Brandenburg,","Finow/Brandenburg,","Ravensbrück"
"691","","","bis 2.3.1945",""
"692","399","Finthen","Finthen","Hinzert/Buchenwald"
"693","400","Fischbachau, Kreis Miesbach,","Fischbachau, Kreis Miesbach,","Dachau"
"694","","","12.9.1944 bis 21.1.1945",""
"695","401","Fischen, Kreis Sonthofen, Kdo. v. Kottern,","Fischen, Kreis Sonthofen, Kdo. v. Kottern,","Dachau"
"696","","","ab 6.11.1944",""
"697","402","Fischhorn/Pinzgau, Kreis Zell a. See","Fischhorn/Pinzgau, Kreis Zell a. See","Dachau"
"698","403","Flöha bei Chemnitz,","Flöha bei Chemnitz,","Flossenbürg"
"699","","","18.3.1944 bis 14.4.1945",""
"700","404","Floridsdorf, siehe Wien-Floridsdorf","Floridsdorf, siehe Wien-Floridsdorf",""
"701","405","Flössberg bei Leipzig,","Flössberg bei Leipzig,","Buchenwald"
"702","","","28.12.1944 bis 17.4.1945",""
"703","406","Flossenbürg,","Flossenbürg,",""
"704","","","3.5.1938 bis 23.4.1945",""
"705","407","Förrenbach, siehe Hersbruck","Förrenbach, siehe Hersbruck",""
"706","408","Fort Göben, Kasematte I, siehe Metz","Fort Göben, Kasematte I, siehe Metz",""
"707","409","Fort de Romainville/Frankreich,","Fort de Romainville/Frankreich,",""
"708","","","ab 12.6.1941",""
"709","410","Fossoli di Carpi/Italien,","Fossoli di Carpi/Italien,",""
"710","","","8.9.1943 bis 1.10.1944",""
"711","411","Frankfurt a. M., Adlerwerke AG.,","Frankfurt a. M., Adlerwerke AG.,","Natzweiler"
"712","","","22.8.1944 bis 25.3.1945",""
"713","412","Frauenburg,","Frauenburg,",""
"714","","","16.12.1941 bis 28.2.1942",""
"715","413","Freiberg/Sachsen,","Freiberg/Sachsen,","Flossenbürg"
"716","","","bis 15.4.1945",""
"717","414","Freiburg/Niederschlesien,","Freiburg/Niederschlesien,","Groß Rosen"
"718","","","12.1.1945 bis 26.2.1945",""
"719","415","Freiheit-Osterode/Harz, siehe Osterode-Heber","Freiheit-Osterode/Harz, siehe Osterode-Heber",""
"720","416","Freimann, siehe München-Freimann","Freimann, siehe München-Freimann",""
"721","417","Freising/Bayern","Freising/Bayern","Dachau"
"722","418","Freudendorf/Westpreußen,","Freudendorf/Westpreußen,","Stutthof"
"723","","","bis 28.1.1945",""
"724","419","Freudenthal = Bruntal bei Troppau/Tschech.,","Freudenthal = Bruntal bei Troppau/Tschech.,","Auschwitz"
"725","","","bis 8.5.1945",""
"726","420","Friedenthal/Brandenburg, nur Arbeitseinsatzstelle v. Sachsenhausen","Friedenthal/Brandenburg, nur Arbeitseinsatzstelle v. Sachsenhausen",""
"727","421","Friedland/Niederschlesien,","Friedland/Niederschlesien,","Groß Rosen"
"728","","","8.9.1944 bis 8.5.1945",""
"729","422","Friedolfing, Kreis Laufen,","Friedolfing, Kreis Laufen,","Dachau"
"730","","","bis 30.5.1944",""
"731","423","Friedrichshafen, Kreis Tettnang,","Friedrichshafen, Kreis Tettnang,","Dachau"
"732","","","22.6.1943 bis 26.9.1944",""
"733","424","Friedrichstadt, siehe Dresden-Friedrichstadt","Friedrichstadt, siehe Dresden-Friedrichstadt",""
"734","425","Frommern, Kreis Balingen,","Frommern, Kreis Balingen,","Natzweiler"
"735","","","1.3.1944 bis 17.4.1945",""
"736","426","Froslev/Dänemark,","Froslev/Dänemark,",""
"737","","","13.8.1944 bis 5.5.1945",""
"738","427","Fuhlsbüttel, siehe Hamburg-Fuhlsbüttel","Fuhlsbüttel, siehe Hamburg-Fuhlsbüttel",""
"739","428","Fulpmes, siehe Innsbruck II","Fulpmes, siehe Innsbruck II",""
"740","429","Fünfbrunnen = Cinq Fontaines/Luxemburg,","Fünfbrunnen = Cinq Fontaines/Luxemburg,",""
"741","","","1.8.1941 bis 28.9.1943",""
"742","430","Fünfteichen/Niederschlesien,","Fünfteichen/Niederschlesien,","Groß Rosen"
"743","","","15.10.1943 bis 23.1.1945",""
"744","431","Fürstenberg, Kreis Neustrelitz","Fürstenberg, Kreis Neustrelitz","Ravensbrück"
"745","432","Fürstenberg (Oder)/Brandenburg","Fürstenberg (Oder)/Brandenburg","Sachsenhausen"
"746","433","Fürstengrube = Kopalnia Fürsten, Gemeinde Wesola/Schlesien,","Fürstengrube = Kopalnia Fürsten, Gemeinde Wesola/Schlesien,","Auschwitz"
"747","","","2.9.1943 bis 29.1.1945",""
"748","434","Fürstenhagen, siehe Hessisch-Lichtenau","Fürstenhagen, siehe Hessisch-Lichtenau",""
"749","435","Fürstensee, siehe Neustrelitz-Fürstensee","Fürstensee, siehe Neustrelitz-Fürstensee",""
"750","436","Fürstenstein, Kreis Waldenburg/Niederschlesien, Kdo. v. Wüstegiersdorf,","Fürstenstein, Kreis Waldenburg/Niederschlesien, Kdo. v. Wüstegiersdorf,","Groß Rosen"
"751","","","bis 8.5.1945",""
"752","437","Fürstenwalde/Brandenburg,","Fürstenwalde/Brandenburg,","Sachsenhausen"
"753","","","2.1.1943 bis 31.7.1944",""
"754","438","Füssen, siehe Plansee","Füssen, siehe Plansee",""
"755","","G","G",""
"756","439","Gabersdorf, Kreis Trautenau/Tschech.,","Gabersdorf, Kreis Trautenau/Tschech.,","Groß Rosen"
"757","","","bis 8.5.1945",""
"758","440","Gablingen, Kreis Augsburg","Gablingen, Kreis Augsburg","Dachau"
"759","441","Gablonz = Jablonec nad Nisou/Tschech.,","Gablonz = Jablonec nad Nisou/Tschech.,","Groß Rosen"
"760","","","1.11.1944 bis 8.5.1945",""
"761","442","Gaggenau/Baden","Gaggenau/Baden","Schirmeck-Vorbruck"
"762","443","Ganacker bei Landau,","Ganacker bei Landau,","Flossenbürg"
"763","","","21.2.1945 bis 24.4.1945",""
"764","444","Gandersheim, siehe Bad Gandersheim","Gandersheim, siehe Bad Gandersheim",""
"765","445","Gans/Pommern","Gans/Pommern","Stutthof"
"766","446","Garczyn, siehe Gartschin","Garczyn, siehe Gartschin",""
"767","447","Garmisch-Partenkirchen","Garmisch-Partenkirchen","Dachau"
"768","448","Gartschin = Garczyn, Kreis Koscierzyna,","Gartschin = Garczyn, Kreis Koscierzyna,","Stutthof"
"769","","","1.9.1939 bis 8.5.1945",""
"770","449","Gassen, Kreis Sorau,","Gassen, Kreis Sorau,","Groß Rosen"
"771","","","1.7.1944 bis 11.2.1945",""
"772","450","Gdingen = Gdynia, siehe Gotenhafen","Gdingen = Gdynia, siehe Gotenhafen",""
"773","451","Gebhardsdorf, Kreis Lauban/Niederschlesien,","Gebhardsdorf, Kreis Lauban/Niederschlesien,","Groß Rosen"
"774","","","bis 1.3.1945",""
"775","452","Geilenberg, siehe Hamburg-Geilenberg","Geilenberg, siehe Hamburg-Geilenberg",""
"776","453","Geisenheim/Rheingaukreis,","Geisenheim/Rheingaukreis,","Natzweiler"
"777","","","bis 22.3.1945",""
"778","454","Geislingen an der Steige, Kreis Göppingen,","Geislingen an der Steige, Kreis Göppingen,","Natzweiler"
"779","","","25.7.1944 bis 10.4.1945",""
"780","455","Gelnhausen, Kreis Gelnhausen","Gelnhausen, Kreis Gelnhausen","Hinzert/Buchenwald"
"781","456","Gelsenkirchen-Horst,","Gelsenkirchen-Horst,","Buchenwald"
"782","","","4.7.1944 bis 15.9.1944",""
"783","457","Gendorf, Gemeinde Emmerting,","Gendorf, Gemeinde Emmerting,","Dachau"
"784","","","bis 5.4.1945",""
"785","458","Genshagen, Kreis Zossen (früher: Kreis Teltow),","Genshagen, Kreis Zossen (früher: Kreis Teltow),","Sachsenhausen"
"786","","","1.9.1944 bis 20.4.1945",""
"787","459","Genthin bei Magdeburg,","Genthin bei Magdeburg,","Ravensbrück,"
"788","","","ab 18.6.1943","ab 29.10.1944"
"789","","","","Sachsenhausen"
"790","460","Geppersdorf,","Geppersdorf,","Groß Rosen"
"791","","","ab 1.1.1945",""
"792","461","Gerdauen/Ostpreußen,","Gerdauen/Ostpreußen,","Stutthof"
"793","","","21.9.1944 bis 31.1.1945",""
"794","462","Germering bei Puchheim, Kreis Fürstenfeldbruck","Germering bei Puchheim, Kreis Fürstenfeldbruck","Dachau"
"795","463","Giebelstadt/Bayern,","Giebelstadt/Bayern,","Flossenbürg"
"796","","","bis 1.4.1945",""
"797","464","Gießen,","Gießen,","Buchenwald"
"798","","","bis 26.3.1945",""
"799","465","Gilze Rijen/Holland,","Gilze Rijen/Holland,","Herzogenbusch"
"800","","","ab 30.8.1943",""
"801","466","Glasau bei Sarau, Kreis Segeberg,","Glasau bei Sarau, Kreis Segeberg,","Neuengamme"
"802","","","29.3.1945 bis 2.5.1945",""
"803","467","Glau-Trebbin, Kreis Luckenwalde (früher: Kreis Jüterbog-Luckenwalde),","Glau-Trebbin, Kreis Luckenwalde (früher: Kreis Jüterbog-Luckenwalde),","Sachsenhausen"
"804","","","ab 23.10.1942",""
"805","468","Gleina, siehe Tröglitz","Gleina, siehe Tröglitz",""
"806","469","Gleiwitz I, III, IV,","Gleiwitz I, III, IV,","Auschwitz"
"807","","","bis 21.1.1945",""
"808","470","Gleiwitz II/Gemeinde Gleiwitz-Steigern,","Gleiwitz II/Gemeinde Gleiwitz-Steigern,","Auschwitz"
"809","","","3.5.1944 bis 22.1.1945",""
"810","471","Glewe, siehe Neustadt-Glewe","Glewe, siehe Neustadt-Glewe",""
"811","472","Glöwen/Brandenburg,","Glöwen/Brandenburg,","Sachsenhausen"
"812","","","17.8.1944 bis 14.4.1945 (Frauenlager)",""
"813","","","bis 20.2.1945 (Männerlager)",""
"814","473","Gmund a. Tegernsee","Gmund a. Tegernsee","Dachau"
"815","474","Gniewkowo, siehe Argenau","Gniewkowo, siehe Argenau",""
"816","474a","Gnojau (Männer)/Danzig-Westpreußen,","Gnojau (Männer)/Danzig-Westpreußen,","Stutthof"
"817","","","bis 16.2.1940",""
"818","475","Göben, Kasematte I, siehe Metz","Göben, Kasematte I, siehe Metz",""
"819","476","Goddentow/Pommern,","Goddentow/Pommern,","Stutthof"
"820","","","bis 9.3.1945",""
"821","477","Godesberg, siehe Bad Godesberg","Godesberg, siehe Bad Godesberg",""
"822","478","Goldfields, Kreisgebiet Wesenberg/Estland,","Goldfields, Kreisgebiet Wesenberg/Estland,","Vaivara"
"823","","","ab 15.9.1943",""
"824","479","Golleschau = Goleszow, Kreis Cieszyn,","Golleschau = Goleszow, Kreis Cieszyn,","Auschwitz"
"825","","","15.7.1942 bis 21.1.1945",""
"826","480","Gollnow/Pommern,","Gollnow/Pommern,",""
"827","","","ab 27.5.1933",""
"828","481","Görlitz/Niederschlesien, Fa. Wumag,","Görlitz/Niederschlesien, Fa. Wumag,","Groß Rosen"
"829","","","8.8.1944 bis 8.5.1945 (Männer)",""
"830","","","1.9.1944 bis 8.5.1945 (Frauen)",""
"831","482","Gorsk, siehe Gurske","Gorsk, siehe Gurske",""
"832","483","Goslar,","Goslar,","Buchenwald"
"833","","","25.11.1940 bis 7.12.1942",""
"834","484","Goslar","Goslar","Neuengamme"
"835","485","Gotenhafen = Gdynia,","Gotenhafen = Gdynia,","Stutthof"
"836","","","14.9.1939 bis 3.12.1941",""
"837","486","Gotenhafen, Deutsche Werke,","Gotenhafen, Deutsche Werke,","Stutthof"
"838","","","16.10.1944 bis 20.3.1945",""
"839","487","Göttingen","Göttingen","Buchenwald"
"840","488","Gräben, Kreis Schweidnitz/Niederschlesien,","Gräben, Kreis Schweidnitz/Niederschlesien,","Groß Rosen"
"841","","","bis 1.2.1945",""
"842","489","Gräflich Röhrsdorf,","Gräflich Röhrsdorf,","Groß Rosen"
"843","","","1.3.1944 bis 31.1.1945",""
"844","490","Grafenberg, siehe Düsseldorf-Grafenberg","Grafenberg, siehe Düsseldorf-Grafenberg",""
"845","491","Grafenort, Kreis Habelschwert/Niederschlesien,","Grafenort, Kreis Habelschwert/Niederschlesien,","Groß Rosen"
"846","","","1.3.1945 bis 8.5.1945",""
"847","492","Grafenreuth/Opf.,","Grafenreuth/Opf.,","Flossenbürg"
"848","","","21.6.1943 bis 21.4.1945",""
"849","493","Grasleben, siehe Weferlingen","Grasleben, siehe Weferlingen",""
"850","494","Graslitz = Kraslice/Eger bei Karlsbad/Tschech.,","Graslitz = Kraslice/Eger bei Karlsbad/Tschech.,","Flossenbürg"
"851","","","6.8.1944 bis 15.4.1945","Ravensbrück"
"852","495","Graudenz = Grudziadz bei Danzig,","Graudenz = Grudziadz bei Danzig,","Stutthof"
"853","","","1.9.1939 bis 28.8.1943",""
"854","496","Gravenhage/Holland,","Gravenhage/Holland,","Herzogenbusch"
"855","","","ab 1.9.1943",""
"856","497","Graz/Steiermark,","Graz/Steiermark,","Mauthausen"
"857","","","bis 18.4.1945",""
"858","497a","Grebinerfeld (Männer)/Danzig-Westpreußen,","Grebinerfeld (Männer)/Danzig-Westpreußen,","Stutthof"
"859","","","bis 21.12.1939",""
"860","498","Grein/Oberösterreich,","Grein/Oberösterreich,","Mauthausen"
"861","","","bis 20.2.1945",""
"862","499","Grenzdorf bei Danzig,","Grenzdorf bei Danzig,","Stutthof"
"863","","","27.9.1939 bis 5.11.1941",""
"864","500","Grini/Norwegen,","Grini/Norwegen,",""
"865","","","14.6.1941 bis 8.5.1945",""
"866","501","Groden = Grodno, Gemeinde Merch,","Groden = Grodno, Gemeinde Merch,","Stutthof"
"867","","","1.1.1944 bis 15.1.1945",""
"868","502","Gröditz, Kreis Großenhain/Sachsen,","Gröditz, Kreis Großenhain/Sachsen,","Flossenbürg"
"869","","","1.10.1944 bis 18.4.1945",""
"870","503","Groß Betschkerek, siehe Petrovgrad","Groß Betschkerek, siehe Petrovgrad",""
"871","504","Groß Hesepe, Kreis Meppen, Kdo. v. Meppen-Versen,","Groß Hesepe, Kreis Meppen, Kdo. v. Meppen-Versen,","Neuengamme"
"872","","","bis 25.3.1945",""
"873","505","Groß Koschen/Brandenburg,","Groß Koschen/Brandenburg,","Groß Rosen"
"874","","","1.10.1944 bis 31.3.1945",""
"875","506","Groß-Lesewitz/Danzig-Westpreußen","Groß-Lesewitz/Danzig-Westpreußen","Stutthof"
"876","506a","Groß Mausdorf (Männer)/Danzig-Westpreußen,","Groß Mausdorf (Männer)/Danzig-Westpreußen,","Stutthof"
"877","","","22.4.1940 bis 24.6.1940",""
"878","506b","Groß-Montau (Männer)/Danzig-Westpreußen,","Groß-Montau (Männer)/Danzig-Westpreußen,","Stutthof"
"879","","","11.8.1941 bis 22.8.1941",""
"880","507","Großraming, Kreis Steyr/Österreich,","Großraming, Kreis Steyr/Österreich,","Mauthausen"
"881","","","14.1.1943 bis 29.8.1944",""
"882","508","Groß Rosen/Niederschlesien,","Groß Rosen/Niederschlesien,","bis 30.4.1941"
"883","","","2.8.1940 bis 13.2.1945","Sachsenhausen"
"884","508a","Groß Saalau (Männer)/Danzig-Westpreußen,","Groß Saalau (Männer)/Danzig-Westpreußen,","Stutthof"
"885","","","31.10.1939 bis 18.11.1939",""
"886","509","Groß-Sachsenheim, siehe Unterriexingen","Groß-Sachsenheim, siehe Unterriexingen",""
"887","510","Großwerther, Kreis Nordhausen (früher: Kreis Grafschaft Hohenstein),","Großwerther, Kreis Nordhausen (früher: Kreis Grafschaft Hohenstein),","Dora-Mittelbau"
"888","","","ab 1.2.1945",""
"889","511","Grudziadz, siehe Graudenz","Grudziadz, siehe Graudenz",""
"890","512","Grulich = Kraliky/Tschech.,","Grulich = Kraliky/Tschech.,","Groß Rosen"
"891","","","1.11.1944 bis 30.4.1945",""
"892","513","Grünberg in Schlesien I/Niederschlesien, Deutsche Wollwaren-Manufaktur,","Grünberg in Schlesien I/Niederschlesien, Deutsche Wollwaren-Manufaktur,","Groß Rosen"
"893","","","1.7.1944 bis 10.2.1945",""
"894","513a","Grünberg in Schlesien II (Männer)/Niederschlesien","Grünberg in Schlesien II (Männer)/Niederschlesien","Groß Rosen"
"895","514","Grüneberg/Brandenburg, Kreis Gransee (früher: Kreis Ruppin),","Grüneberg/Brandenburg, Kreis Gransee (früher: Kreis Ruppin),","Ravensbrück"
"896","","","bis 1.1.1945",""
"897","515","Gruppe ""Riese"", Kdos. v. Wüstegiersdorf, siehe Dörnhau, Erlenbusch, Eule, Falkenberg, Fürstenstein, Hausdorf, Kaltenbrunn, Kaltwasser, Lärche, Ludwigsdorf, Märzbachtal, Oberwüstegiersdorf, Säuferwassergraben, Tannhausen, Waldlager 1, 2 und 3, Wolfsberg, Wüstewaltersdorf","Gruppe ""Riese"", Kdos. v. Wüstegiersdorf, siehe Dörnhau, Erlenbusch, Eule, Falkenberg, Fürstenstein, Hausdorf, Kaltenbrunn, Kaltwasser, Lärche, Ludwigsdorf, Märzbachtal, Oberwüstegiersdorf, Säuferwassergraben, Tannhausen, Waldlager 1, 2 und 3, Wolfsberg, Wüstewaltersdorf",""
"898","516","Gruppe ""Wüste"", siehe Bisingen, Dautmergen, Dormettingen, Erzingen, Frommern, Schömberg und Schörzingen","Gruppe ""Wüste"", siehe Bisingen, Dautmergen, Dormettingen, Erzingen, Frommern, Schömberg und Schörzingen","Natzweiler"
"899","517","Guben/Brandenburg,","Guben/Brandenburg,","Groß Rosen"
"900","","","ab 1.9.1944",""
"901","518","Gundelsdorf bei Kronach,","Gundelsdorf bei Kronach,","Flossenbürg"
"902","","","ab 12.9.1944 (Frauenlager)",""
"903","","","4.11.1944 bis 27.1.1945 (Männerlager)",""
"904","519","Gunskirchen, Kreis Wels, Waldwerke I,","Gunskirchen, Kreis Wels, Waldwerke I,","Mauthausen"
"905","","","27.12.1944 bis 5.5.1945",""
"906","520","Gunskirchen, Sammellager,","Gunskirchen, Sammellager,","Mauthausen"
"907","","","12.3.1945 bis 5.5.1945",""
"908","521","Günthergrube, Gemeinde Lendzin, Kreis Kattowitz,","Günthergrube, Gemeinde Lendzin, Kreis Kattowitz,","Auschwitz"
"909","","","1.2.1944 bis 19.1.1945",""
"910","522","Gurske = Gorsk/Danzig-Westpreußen,","Gurske = Gorsk/Danzig-Westpreußen,","Stutthof"
"911","","","ab 1.1.1945",""
"912","523","Gusen, Kreis Perg,","Gusen, Kreis Perg,","Mauthausen"
"913","","","25.5.1940 bis 5.5.1945",""
"914","524","Gusterath, nur Arbeitseinsatzstelle v. Hinzert","Gusterath, nur Arbeitseinsatzstelle v. Hinzert",""
"915","525","Gut Dzierzazna, siehe Jugendschutzlager","Gut Dzierzazna, siehe Jugendschutzlager",""
"916","526","Guttau = Gutowo, Kreis Thorn-Land/Westpreußen,","Guttau = Gutowo, Kreis Thorn-Land/Westpreußen,","Stutthof"
"917","","","1.9.1944 bis 15.1.1945",""
"918","527","Guttenbach, siehe Neckargerach","Guttenbach, siehe Neckargerach",""
"919","528","Gwizdziny, siehe Quesendorf","Gwizdziny, siehe Quesendorf",""
"920","","H","H",""
"921","529","Haaren bei Tilburg/Holland,","Haaren bei Tilburg/Holland,","Herzogenbusch"
"922","","","ab 1.1.1943",""
"923","530","Hadmersleben, Kreis Wansleben,","Hadmersleben, Kreis Wansleben,","Buchenwald"
"924","","","13.3.1944 bis 10.4.1945",""
"925","531","Haidari, Athen/Griechenland,","Haidari, Athen/Griechenland,",""
"926","","","1.7.1942 bis 24.9.1944",""
"927","532","Haidfeld, siehe Wien-Hinterbrühl","Haidfeld, siehe Wien-Hinterbrühl",""
"928","533","Hailfingen, Kreis Tübingen,","Hailfingen, Kreis Tübingen,","Natzweiler"
"929","","","ab 17.11.1944",""
"930","533a","Hainewalde/Sachsen (Männer)","Hainewalde/Sachsen (Männer)",""
"931","","","31.3.1933 bis 31.3.1938",""
"932","534","Hainichen, Kreis Döbeln/Sachsen,","Hainichen, Kreis Döbeln/Sachsen,",""
"933","","","bis 31.5.1933",""
"934","535","Hainichen, Kreis Döbeln/Sachsen,","Hainichen, Kreis Döbeln/Sachsen,","Flossenbürg"
"935","","","2.9.1944 bis 30.4.1945",""
"936","536","Hajduki Wielkie, siehe Bismarckhütte","Hajduki Wielkie, siehe Bismarckhütte",""
"937","537","Hakenfelde, siehe Berlin-Hakenfelde","Hakenfelde, siehe Berlin-Hakenfelde",""
"938","538","Halbau/Niederschlesien,","Halbau/Niederschlesien,","Groß Rosen"
"939","","","bis 15.2.1945",""
"940","539","Halberstadt, Junkerswerke/Prov. Sachsen,","Halberstadt, Junkerswerke/Prov. Sachsen,","Buchenwald"
"941","","","26.7.1944 bis 8.4.1945",""
"942","540","Halberstadt ""Malachit"",","Halberstadt ""Malachit"",","Buchenwald"
"943","","","21.4.1944 bis 11.4.1945",""
"944","541","Halberstadt-Zwieberge ""Malachit AG"",","Halberstadt-Zwieberge ""Malachit AG"",","Buchenwald"
"945","","","bis 11.4.1945",""
"946","542","Halberstadt-Zwieberge, Maifisch,","Halberstadt-Zwieberge, Maifisch,","Buchenwald"
"947","","","7.10.1944 bis 29.1.1945",""
"948","543","Halbstadt = Mezimesti/Tschech.,","Halbstadt = Mezimesti/Tschech.,","Groß Rosen"
"949","","","bis 8.5.1945",""
"950","544","Halensee, siehe Berlin-Halensee","Halensee, siehe Berlin-Halensee",""
"951","545","Halfing, Kreis Rosenheim,","Halfing, Kreis Rosenheim,","Dachau"
"952","","","19.11.1942 bis 18.12.1942",""
"953","546","Halfing, Kreis Rosenheim, Brüningsau","Halfing, Kreis Rosenheim, Brüningsau","Dachau"
"954","547","Halle/S.,","Halle/S.,","Buchenwald"
"955","","","ab 1.8.1944",""
"956","548","Hallein/Österreich,","Hallein/Österreich,","Dachau"
"957","","","1.9.1943 bis 5.5.1945",""
"958","549","Hambühren/Provinz Hannover","Hambühren/Provinz Hannover",""
"959","550","Hamburg, Blohm und Voss,","Hamburg, Blohm und Voss,","Neuengamme"
"960","","","1.7.1944 bis 21.4.1945",""
"961","551","Hamburg, Bombensuchkommando (Männer),","Hamburg, Bombensuchkommando (Männer),","Neuengamme"
"962","","","ab 1.12.1940",""
"963","552","Hamburg, Bullenhuserdamm,","Hamburg, Bullenhuserdamm,","Neuengamme"
"964","","","1.10.1944 bis 21.4.1945",""
"965","553","Hamburg-Eidelstedt,","Hamburg-Eidelstedt,","Neuengamme"
"966","","","1.3.1944 bis 1.5.1945",""
"967","554","Hamburg-Finkenwerder,","Hamburg-Finkenwerder,","Neuengamme"
"968","","","bis 30.4.1945",""
"969","555","Hamburg-Fuhlsbüttel, ohne Strafvollzugseinrichtungen,","Hamburg-Fuhlsbüttel, ohne Strafvollzugseinrichtungen,",""
"970","","","4.3.1933 bis 3.5.1945",""
"971","556","Hamburg-Fuhlsbüttel, Am Hasenberge","Hamburg-Fuhlsbüttel, Am Hasenberge","Neuengamme"
"972","","","26, 1.1.1943 bis 8.5.1945",""
"973","557","Hamburg-Geilenberg, Dessauer Ufer,","Hamburg-Geilenberg, Dessauer Ufer,","Neuengamme"
"974","","","bis 22.4.1945 (Männerlager)",""
"975","","","20.6.1944 bis 30.9.1944 (Frauenlager)",""
"976","558","Hamburg, Howaldtwerke","Hamburg, Howaldtwerke","Neuengamme"
"977","559","Hamburg-Langenhorn,","Hamburg-Langenhorn,","Neuengamme"
"978","","","12.9.1944 bis 4.4.1945",""
"979","560","Hamburg-Neugraben,","Hamburg-Neugraben,","Neuengamme"
"980","","","1.9.1944 bis 8.2.1945",""
"981","561","Hamburg-Sasel,","Hamburg-Sasel,","Neuengamme"
"982","","","1.8.1944 bis 4.5.1945",""
"983","562","Hamburg, Spaldingstraße,","Hamburg, Spaldingstraße,","Neuengamme"
"984","","","1.9.1944 bis 22.4.1945",""
"985","563","Hamburg, Stülckenwerft,","Hamburg, Stülckenwerft,","Neuengamme"
"986","","","bis 15.4.1945",""
"987","564","Hamburg-Tiefstack,","Hamburg-Tiefstack,","Neuengamme"
"988","","","8.2.1945 bis 5.4.1945",""
"989","565","Hamburg-Wandsbek,","Hamburg-Wandsbek,","Neuengamme"
"990","","","2.5.1944 bis 3.5.1945",""
"991","566","Hamburg-Wilhelmsburg, Jung-Ölindustrie","Hamburg-Wilhelmsburg, Jung-Ölindustrie","Neuengamme"
"992","567","Hammerstein, Kreis Schlochau,","Hammerstein, Kreis Schlochau,",""
"993","","","1.8.1933 bis 31.3.1935",""
"994","568","Hannover-Ahlem,","Hannover-Ahlem,","Neuengamme"
