"","row","cpt","pb","pb2","man","tei1"
"169",169,"Thal.
So? das thut mir leid. Ich hatt’ ein Plänchen
im Sinne –","Thal. So? das thut mir leid. Ich hatt’ ein Plänchen im Sinne –","<sp who=""#thal""><speaker>Thal</speaker><p>So? das thut mir leid. Ich hatt’ ein Plänchen im Sinne –</p></sp>","","<sp who=""#thal""><speaker>Thal</speaker><p>So? das thut mir leid. Ich hatt’ ein Plänchen im Sinne –</p></sp>"
"170",170,"Zauser.
Darf man unterthänigst fragen?","Zauser. Darf man unterthänigst fragen?","<sp who=""#zauser""><speaker>Zauser</speaker><p>Darf man unterthänigst fragen?</p></sp>","","<sp who=""#zauser""><speaker>Zauser</speaker><p>Darf man unterthänigst fragen?</p></sp>"
"171",171,"Thal.
Wozu? bei Deiner horrenden Gewissenhaftigkeit bin
ich genöthigt, es aufzugeben.","Thal. Wozu? bei Deiner horrenden Gewissenhaftigkeit bin ich genöthigt, es aufzugeben.","<sp who=""#thal""><speaker>Thal</speaker><p>Wozu? bei Deiner horrenden Gewissenhaftigkeit bin ich genöthigt, es aufzugeben.</p></sp>","","<sp who=""#thal""><speaker>Thal</speaker><p>Wozu? bei Deiner horrenden Gewissenhaftigkeit bin ich genöthigt, es aufzugeben.</p></sp>"
"172",172,"Zauser.
Hören Sie, lieber Herr Hauptmann, wenn Sie
mich etwa bestechen wollen, machen Sie keine Umstände,
sagen Sie es gerade heraus.","Zauser. Hören Sie, lieber Herr Hauptmann, wenn Sie mich etwa bestechen wollen, machen Sie keine Umstände, sagen Sie es gerade heraus.","<sp who=""#zauser""><speaker>Zauser</speaker><p>Hören Sie, lieber Herr Hauptmann, wenn Sie mich etwa bestechen wollen, machen Sie keine Umstände, sagen Sie es gerade heraus.</p></sp>","","<sp who=""#zauser""><speaker>Zauser</speaker><p>Hören Sie, lieber Herr Hauptmann, wenn Sie mich etwa bestechen wollen, machen Sie keine Umstände, sagen Sie es gerade heraus.</p></sp>"
"173",173,"Thal.
Ich fürchte mich vor Deiner Tugend.","Thal. Ich fürchte mich vor Deiner Tugend.","<sp who=""#thal""><speaker>Thal</speaker><p>Ich fürchte mich vor Deiner Tugend.</p></sp>","","<sp who=""#thal""><speaker>Thal</speaker><p>Ich fürchte mich vor Deiner Tugend.</p></sp>"
"174",174,"Zauser.
Alle hübsche Mädchen sind tugendhaft bis der Rechte
kommt.","Zauser. Alle hübsche Mädchen sind tugendhaft bis der Rechte kommt.","<sp who=""#zauser""><speaker>Zauser</speaker><p>Alle hübsche Mädchen sind tugendhaft bis der Rechte kommt.</p></sp>","","<sp who=""#zauser""><speaker>Zauser</speaker><p>Alle hübsche Mädchen sind tugendhaft bis der Rechte kommt.</p></sp>"
"175",175,"Thal (gibt ihm Geld).
Ist das der Rechte?","Thal (gibt ihm Geld). Ist das der Rechte?","<sp who=""#thal""><speaker>Thal</speaker><stage>(gibt ihm Geld).</stage><p> Ist das der Rechte?</p></sp>","","<sp who=""#thal""><speaker>Thal</speaker><stage>(gibt ihm Geld).</stage><p> Ist das der Rechte?</p></sp>"
"176",176,"Zauser.
Ja, hol mich der Teufel! das ist er.","Zauser. Ja, hol mich der Teufel! das ist er. [92] ","<sp who=""#zauser""><speaker>Zauser</speaker><p>Ja, hol mich der Teufel! das ist er. <pb no=""92""/> </p></sp>","","<sp who=""#zauser""><speaker>Zauser</speaker><p>Ja, hol mich der Teufel! das ist er. <pb no=""92""/> </p></sp>"
"177",177,"[92] Thal.
Wirst Du unter meiner Fahne dienen?","Thal. Wirst Du unter meiner Fahne dienen?","<sp who=""#thal""><speaker>Thal</speaker><p>Wirst Du unter meiner Fahne dienen?</p></sp>","","<sp who=""#thal""><speaker>Thal</speaker><p>Wirst Du unter meiner Fahne dienen?</p></sp>"
"178",178,"Zauser.
Marschiren gegen Freund und Feind.","Zauser. Marschiren gegen Freund und Feind.","<sp who=""#zauser""><speaker>Zauser</speaker><p>Marschiren gegen Freund und Feind.</p></sp>","","<sp who=""#zauser""><speaker>Zauser</speaker><p>Marschiren gegen Freund und Feind.</p></sp>"
"179",179,"Thal.
Hast Du an Deinem Herrn nicht irgend eine
Schwäche bemerkt?","Thal. Hast Du an Deinem Herrn nicht irgend eine Schwäche bemerkt?","<sp who=""#thal""><speaker>Thal</speaker><p>Hast Du an Deinem Herrn nicht irgend eine Schwäche bemerkt?</p></sp>","","<sp who=""#thal""><speaker>Thal</speaker><p>Hast Du an Deinem Herrn nicht irgend eine Schwäche bemerkt?</p></sp>"
"180",180,"Zauser.
Schwächen so viel als Sommersprossen. Es gibt
ja keinen großen Mann für seinen Kammerdiener.","Zauser. Schwächen so viel als Sommersprossen. Es gibt ja keinen großen Mann für seinen Kammerdiener.","<sp who=""#zauser""><speaker>Zauser</speaker><p>Schwächen so viel als Sommersprossen. Es gibt ja keinen großen Mann für seinen Kammerdiener.</p></sp>","","<sp who=""#zauser""><speaker>Zauser</speaker><p>Schwächen so viel als Sommersprossen. Es gibt ja keinen großen Mann für seinen Kammerdiener.</p></sp>"
"181",181,"Thal.
Wovor fürchtet er sich am meisten?","Thal. Wovor fürchtet er sich am meisten?","<sp who=""#thal""><speaker>Thal</speaker><p>Wovor fürchtet er sich am meisten?</p></sp>","","<sp who=""#thal""><speaker>Thal</speaker><p>Wovor fürchtet er sich am meisten?</p></sp>"
"182",182,"Zauser.
Vor ansteckenden Krankheiten, die scheut er ärger
als eine Batterie.","Zauser. Vor ansteckenden Krankheiten, die scheut er ärger als eine Batterie.","<sp who=""#zauser""><speaker>Zauser</speaker><p>Vor ansteckenden Krankheiten, die scheut er ärger als eine Batterie.</p></sp>","","<sp who=""#zauser""><speaker>Zauser</speaker><p>Vor ansteckenden Krankheiten, die scheut er ärger als eine Batterie.</p></sp></div>"
"183",183,"","","","",NA
"184",184,"Siebente Scene.","Siebente Scene.","Siebente Scene.","",NA
"185",185,"Siebente Scene.","Siebente Scene.","<div type=""scene""><head>Siebente Scene.</head>","","<div type=""scene""><head>Siebente Scene.</head>"
"186",186,"Krips. Die Vorigen.","Krips. Die Vorigen.","Krips. Die Vorigen.","",NA
"187",187,"Krips. Die Vorigen.","Krips. Die Vorigen.","<stage>Krips. Die Vorigen.</stage>","","<stage>Krips. Die Vorigen.</stage>"
"188",188,"Krips.
Eben jetzt ist die Post durchgegangen. Haben Sie
nicht blasen hören? Da ist ein Brief, Herr Hauptmann.","Krips. Eben jetzt ist die Post durchgegangen. Haben Sie nicht blasen hören? Da ist ein Brief, Herr Hauptmann. [93] ","<sp who=""#krips""><speaker>Krips</speaker><p>Eben jetzt ist die Post durchgegangen. Haben Sie nicht blasen hören? Da ist ein Brief, Herr Hauptmann. <pb no=""93""/> </p></sp>","","<sp who=""#krips""><speaker>Krips</speaker><p>Eben jetzt ist die Post durchgegangen. Haben Sie nicht blasen hören? Da ist ein Brief, Herr Hauptmann. <pb no=""93""/> </p></sp>"
"189",189,"[93] Thal (erbricht ihn und liest).
Hm! das klingt sonderbar. Von wem hast Du
diesen Brief empfangen?","Thal (erbricht ihn und liest). Hm! das klingt sonderbar. Von wem hast Du diesen Brief empfangen?","<sp who=""#thal""><speaker>Thal</speaker><stage>(erbricht ihn und liest).</stage><p> Hm! das klingt sonderbar. Von wem hast Du diesen Brief empfangen?</p></sp>","","<sp who=""#thal""><speaker>Thal</speaker><stage>(erbricht ihn und liest).</stage><p> Hm! das klingt sonderbar. Von wem hast Du diesen Brief empfangen?</p></sp>"
"190",190,"Krips.
Von der reitenden Post.","Krips. Von der reitenden Post.","<sp who=""#krips""><speaker>Krips</speaker><p>Von der reitenden Post.</p></sp>","","<sp who=""#krips""><speaker>Krips</speaker><p>Von der reitenden Post.</p></sp>"
"191",191,"Thal.
Da schreibt mir ein Notarius aus meiner Vaterstadt,
meine Mutter liege auf dem Todbette und wünsche
sehnlichst, mich noch einmal zu sprechen.","Thal. Da schreibt mir ein Notarius aus meiner Vaterstadt, meine Mutter liege auf dem Todbette und wünsche sehnlichst, mich noch einmal zu sprechen.","<sp who=""#thal""><speaker>Thal</speaker><p>Da schreibt mir ein Notarius aus meiner Vaterstadt, meine Mutter liege auf dem Todbette und wünsche sehnlichst, mich noch einmal zu sprechen.</p></sp>","","<sp who=""#thal""><speaker>Thal</speaker><p>Da schreibt mir ein Notarius aus meiner Vaterstadt, meine Mutter liege auf dem Todbette und wünsche sehnlichst, mich noch einmal zu sprechen.</p></sp>"
"192",192,"Krips.
Ach, die gute Dame!","Krips. Ach, die gute Dame!","<sp who=""#krips""><speaker>Krips</speaker><p>Ach, die gute Dame!</p></sp>","","<sp who=""#krips""><speaker>Krips</speaker><p>Ach, die gute Dame!</p></sp>"
"193",193,"Thal.
Wenn ich diesen Wunsch erfüllen wolle, so dürfe
ich keinen Augenblick versäumen.","Thal. Wenn ich diesen Wunsch erfüllen wolle, so dürfe ich keinen Augenblick versäumen.","<sp who=""#thal""><speaker>Thal</speaker><p>Wenn ich diesen Wunsch erfüllen wolle, so dürfe ich keinen Augenblick versäumen.</p></sp>","","<sp who=""#thal""><speaker>Thal</speaker><p>Wenn ich diesen Wunsch erfüllen wolle, so dürfe ich keinen Augenblick versäumen.</p></sp>"
"194",194,"Krips.
Da muß ich wohl schnell die Pferde satteln?","Krips. Da muß ich wohl schnell die Pferde satteln?","<sp who=""#krips""><speaker>Krips</speaker><p>Da muß ich wohl schnell die Pferde satteln?</p></sp>","","<sp who=""#krips""><speaker>Krips</speaker><p>Da muß ich wohl schnell die Pferde satteln?</p></sp>"
"195",195,"Thal.
Du weißt, daß die Liebe mich hier gefesselt hält.","Thal. Du weißt, daß die Liebe mich hier gefesselt hält.","<sp who=""#thal""><speaker>Thal</speaker><p>Du weißt, daß die Liebe mich hier gefesselt hält.</p></sp>","","<sp who=""#thal""><speaker>Thal</speaker><p>Du weißt, daß die Liebe mich hier gefesselt hält.</p></sp>"
"196",196,"Krips.
Aber die kindliche Pflicht, Herr Hauptmann, das
vierte Gebot –","Krips. Aber die kindliche Pflicht, Herr Hauptmann, das vierte Gebot –","<sp who=""#krips""><speaker>Krips</speaker><p>Aber die kindliche Pflicht, Herr Hauptmann, das vierte Gebot –</p></sp>","","<sp who=""#krips""><speaker>Krips</speaker><p>Aber die kindliche Pflicht, Herr Hauptmann, das vierte Gebot –</p></sp>"
"197",197,"Thal.
Da hast Du freilich Recht.","Thal. Da hast Du freilich Recht. [94] ","<sp who=""#thal""><speaker>Thal</speaker><p>Da hast Du freilich Recht. <pb no=""94""/> </p></sp>","","<sp who=""#thal""><speaker>Thal</speaker><p>Da hast Du freilich Recht. <pb no=""94""/> </p></sp>"
"198",198,"[94] Krips.
Mich dünkt, ich sehe die brave Dame, wie sie auf
ihrem Krankenlager sich herum wälzt und seufzt: mein
Sohn! ach! wo ist er! mein theurer Sohn! daß ich
ihn noch einmal segne!","Krips. Mich dünkt, ich sehe die brave Dame, wie sie auf ihrem Krankenlager sich herum wälzt und seufzt: mein Sohn! ach! wo ist er! mein theurer Sohn! daß ich ihn noch einmal segne!","<sp who=""#krips""><speaker>Krips</speaker><p>Mich dünkt, ich sehe die brave Dame, wie sie auf ihrem Krankenlager sich herum wälzt und seufzt: mein Sohn! ach! wo ist er! mein theurer Sohn! daß ich ihn noch einmal segne!</p></sp>","","<sp who=""#krips""><speaker>Krips</speaker><p>Mich dünkt, ich sehe die brave Dame, wie sie auf ihrem Krankenlager sich herum wälzt und seufzt: mein Sohn! ach! wo ist er! mein theurer Sohn! daß ich ihn noch einmal segne!</p></sp>"
"199",199,"Thal.
Das ist allerdings sehr rührend, ich habe nur einen
einzigen kleinen Zweifel.","Thal. Das ist allerdings sehr rührend, ich habe nur einen einzigen kleinen Zweifel.","<sp who=""#thal""><speaker>Thal</speaker><p>Das ist allerdings sehr rührend, ich habe nur einen einzigen kleinen Zweifel.</p></sp>","","<sp who=""#thal""><speaker>Thal</speaker><p>Das ist allerdings sehr rührend, ich habe nur einen einzigen kleinen Zweifel.</p></sp>"
"200",200,"Krips.
Der wäre?","Krips. Der wäre?","<sp who=""#krips""><speaker>Krips</speaker><p>Der wäre?</p></sp>","","<sp who=""#krips""><speaker>Krips</speaker><p>Der wäre?</p></sp>"
"201",201,"Thal.
Meine Mutter ist schon vor zehn Jahren gestorben.","Thal. Meine Mutter ist schon vor zehn Jahren gestorben.","<sp who=""#thal""><speaker>Thal</speaker><p>Meine Mutter ist schon vor zehn Jahren gestorben.</p></sp>","","<sp who=""#thal""><speaker>Thal</speaker><p>Meine Mutter ist schon vor zehn Jahren gestorben.</p></sp>"
"202",202,"Krips.
So?","Krips. So?","<sp who=""#krips""><speaker>Krips</speaker><p>So?</p></sp>","","<sp who=""#krips""><speaker>Krips</speaker><p>So?</p></sp>"
"203",203,"Thal.
Und hat Dir in ihrem Testamente hundert Stockprügel
vermacht.","Thal. Und hat Dir in ihrem Testamente hundert Stockprügel vermacht.","<sp who=""#thal""><speaker>Thal</speaker><p>Und hat Dir in ihrem Testamente hundert Stockprügel vermacht.</p></sp>","","<sp who=""#thal""><speaker>Thal</speaker><p>Und hat Dir in ihrem Testamente hundert Stockprügel vermacht.</p></sp>"
"204",204,"Krips.
Ei das muß eine scheneröse Dame gewesen seyn.","Krips. Ei das muß eine scheneröse Dame gewesen seyn.","<sp who=""#krips""><speaker>Krips</speaker><p>Ei das muß eine scheneröse Dame gewesen seyn.</p></sp>","","<sp who=""#krips""><speaker>Krips</speaker><p>Ei das muß eine scheneröse Dame gewesen seyn.</p></sp>"
"205",205,"Thal.
Das Legat soll Dir auch richtig ausgezahlt werden.","Thal. Das Legat soll Dir auch richtig ausgezahlt werden.","<sp who=""#thal""><speaker>Thal</speaker><p>Das Legat soll Dir auch richtig ausgezahlt werden.</p></sp>","","<sp who=""#thal""><speaker>Thal</speaker><p>Das Legat soll Dir auch richtig ausgezahlt werden.</p></sp>"
"206",206,"Krips.
O es hat damit keine Eile.","Krips. O es hat damit keine Eile. [95] ","<sp who=""#krips""><speaker>Krips</speaker><p>O es hat damit keine Eile. <pb no=""95""/> </p></sp>","","<sp who=""#krips""><speaker>Krips</speaker><p>O es hat damit keine Eile. <pb no=""95""/> </p></sp>"
"207",207,"[95] Thal.
Spitzbube! Du hast Dich von meinem Nebenbuhler
bestechen lassen?","Thal. Spitzbube! Du hast Dich von meinem Nebenbuhler bestechen lassen?","<sp who=""#thal""><speaker>Thal</speaker><p>Spitzbube! Du hast Dich von meinem Nebenbuhler bestechen lassen?</p></sp>","","<sp who=""#thal""><speaker>Thal</speaker><p>Spitzbube! Du hast Dich von meinem Nebenbuhler bestechen lassen?</p></sp>"
"208",208,"Krips.
Ei wo denken Sie hin, gnädiger Herr? ich konnte
ja nicht wissen, was in dem Briefe steht. Wenn ich ein
Postbeamter wäre, so hätte ich verstanden ihn aufzumachen.","Krips. Ei wo denken Sie hin, gnädiger Herr? ich konnte ja nicht wissen, was in dem Briefe steht. Wenn ich ein Postbeamter wäre, so hätte ich verstanden ihn aufzumachen.","<sp who=""#krips""><speaker>Krips</speaker><p>Ei wo denken Sie hin, gnädiger Herr? ich konnte ja nicht wissen, was in dem Briefe steht. Wenn ich ein Postbeamter wäre, so hätte ich verstanden ihn aufzumachen.</p></sp>","","<sp who=""#krips""><speaker>Krips</speaker><p>Ei wo denken Sie hin, gnädiger Herr? ich konnte ja nicht wissen, was in dem Briefe steht. Wenn ich ein Postbeamter wäre, so hätte ich verstanden ihn aufzumachen.</p></sp>"
"209",209,"Thal.
Sagtest Du nicht, die reitende Post habe den Brief
mitgebracht?","Thal. Sagtest Du nicht, die reitende Post habe den Brief mitgebracht?","<sp who=""#thal""><speaker>Thal</speaker><p>Sagtest Du nicht, die reitende Post habe den Brief mitgebracht?</p></sp>","","<sp who=""#thal""><speaker>Thal</speaker><p>Sagtest Du nicht, die reitende Post habe den Brief mitgebracht?</p></sp>"
"210",210,"Krips.
So hat der Herr Rittmeister mich versichert, und
vornehmen Herren glaub’ ich aufs Wort.","Krips. So hat der Herr Rittmeister mich versichert, und vornehmen Herren glaub’ ich aufs Wort.","<sp who=""#krips""><speaker>Krips</speaker><p>So hat der Herr Rittmeister mich versichert, und vornehmen Herren glaub’ ich aufs Wort.</p></sp>","","<sp who=""#krips""><speaker>Krips</speaker><p>So hat der Herr Rittmeister mich versichert, und vornehmen Herren glaub’ ich aufs Wort.</p></sp>"
"211",211,"Thal.
Daran thust Du sehr übel. Wenn vornehme Herren
Krieg mit einander führen, so lügen sie trotz den Zeitungsschreibern.","Thal. Daran thust Du sehr übel. Wenn vornehme Herren Krieg mit einander führen, so lügen sie trotz den Zeitungsschreibern.","<sp who=""#thal""><speaker>Thal</speaker><p>Daran thust Du sehr übel. Wenn vornehme Herren Krieg mit einander führen, so lügen sie trotz den Zeitungsschreibern.</p></sp>","","<sp who=""#thal""><speaker>Thal</speaker><p>Daran thust Du sehr übel. Wenn vornehme Herren Krieg mit einander führen, so lügen sie trotz den Zeitungsschreibern.</p></sp>"
"212",212,"Krips.
Lieber Gott! wir andern sind ja zum glauben
auf der Welt.","Krips. Lieber Gott! wir andern sind ja zum glauben auf der Welt.","<sp who=""#krips""><speaker>Krips</speaker><p>Lieber Gott! wir andern sind ja zum glauben auf der Welt.</p></sp>","","<sp who=""#krips""><speaker>Krips</speaker><p>Lieber Gott! wir andern sind ja zum glauben auf der Welt.</p></sp>"
"213",213,"Thal.
Dießmal schlüpfst Du so durch. Ertapp’ ich Dich
[96] wieder, so schlag’ ich Dir Arm und Beine entzwei. –
Komm, Zauser, ich habe mit Dir zu reden. (ab mit Zauser.)","Thal. Dießmal schlüpfst Du so durch. Ertapp’ ich Dich [96] wieder, so schlag’ ich Dir Arm und Beine entzwei. – Komm, Zauser, ich habe mit Dir zu reden. (ab mit Zauser.)","<sp who=""#thal""><speaker>Thal</speaker><p>Dießmal schlüpfst Du so durch. Ertapp’ ich Dich <pb no=""96""/> wieder, so schlag’ ich Dir Arm und Beine entzwei. – Komm, Zauser, ich habe mit Dir zu reden. (ab mit Zauser.)</p></sp>","","<sp who=""#thal""><speaker>Thal</speaker><p>Dießmal schlüpfst Du so durch. Ertapp’ ich Dich <pb no=""96""/> wieder, so schlag’ ich Dir Arm und Beine entzwei. – Komm, Zauser, ich habe mit Dir zu reden. (ab mit Zauser.)</p></sp></div>"
"214",214,"","","","",NA
"215",215,"Achte Scene.","Achte Scene.","Achte Scene.","",NA
"216",216,"Achte Scene.","Achte Scene.","<div type=""scene""><head>Achte Scene.</head>","","<div type=""scene""><head>Achte Scene.</head>"
"217",217,"Krips allein.","Krips allein.","Krips allein.","",NA
"218",218,"Krips allein.","Krips allein.","<stage>Krips allein.</stage>","","<stage>Krips allein.</stage>"
"219",219,"So? – den Zauser nimmt er mit? – o ich verstehe,
der hat auch seine Waare an den Mann gebracht.
– Bravo, Kamerad! uns armen Leuten wird
heutzutage das Hemd vom Leibe genommen, so müssen
wir ja wohl unsere Ehrlichkeit verkaufen. Die ist
Gott sey Dank eine gesuchte Waare. Die großen Herren
pflegen sie zwar ihren eignen Dienern anzupreisen,
sind aber herzlich froh, wenn sie sie bei Fremden nicht
finden.","So? – den Zauser nimmt er mit? – o ich verstehe, der hat auch seine Waare an den Mann gebracht. – Bravo, Kamerad! uns armen Leuten wird heutzutage das Hemd vom Leibe genommen, so müssen wir ja wohl unsere Ehrlichkeit verkaufen. Die ist Gott sey Dank eine gesuchte Waare. Die großen Herren pflegen sie zwar ihren eignen Dienern anzupreisen, sind aber herzlich froh, wenn sie sie bei Fremden nicht finden.","<sp who=""#krips""><speaker>Krips</speaker><p>So? – den Zauser nimmt er mit? – o ich verstehe, der hat auch seine Waare an den Mann gebracht. – Bravo, Kamerad! uns armen Leuten wird heutzutage das Hemd vom Leibe genommen, so müssen wir ja wohl unsere Ehrlichkeit verkaufen. Die ist Gott sey Dank eine gesuchte Waare. Die großen Herren pflegen sie zwar ihren eignen Dienern anzupreisen, sind aber herzlich froh, wenn sie sie bei Fremden nicht finden.</p></sp>","","<sp who=""#krips""><speaker>Krips</speaker><p>So? – den Zauser nimmt er mit? – o ich verstehe, der hat auch seine Waare an den Mann gebracht. – Bravo, Kamerad! uns armen Leuten wird heutzutage das Hemd vom Leibe genommen, so müssen wir ja wohl unsere Ehrlichkeit verkaufen. Die ist Gott sey Dank eine gesuchte Waare. Die großen Herren pflegen sie zwar ihren eignen Dienern anzupreisen, sind aber herzlich froh, wenn sie sie bei Fremden nicht finden.</p></sp></div>"
"220",220,"","","","",NA
"221",221,"Neunte Scene.","Neunte Scene.","Neunte Scene.","",NA
"222",222,"Neunte Scene.","Neunte Scene.","<div type=""scene""><head>Neunte Scene.</head>","","<div type=""scene""><head>Neunte Scene.</head>"
"223",223,"Blum. Krips.","Blum. Krips.","Blum. Krips.","",NA
"224",224,"Blum. Krips.","Blum. Krips.","<stage>Blum. Krips.</stage>","","<stage>Blum. Krips.</stage>"
"225",225,"Blum.
Nun, wie stehts?","Blum. Nun, wie stehts?","<sp who=""#blum""><speaker>Blum</speaker><p>Nun, wie stehts?</p></sp>","","<sp who=""#blum""><speaker>Blum</speaker><p>Nun, wie stehts?</p></sp>"
"226",226,"Krips.
Gott sey Dank! ich befinde mich noch in heiler Haut.","Krips. Gott sey Dank! ich befinde mich noch in heiler Haut. [97] ","<sp who=""#krips""><speaker>Krips</speaker><p>Gott sey Dank! ich befinde mich noch in heiler Haut. <pb no=""97""/> </p></sp>","","<sp who=""#krips""><speaker>Krips</speaker><p>Gott sey Dank! ich befinde mich noch in heiler Haut. <pb no=""97""/> </p></sp>"
"227",227,"[97] Blum.
Narr! ist die List gelungen?","Blum. Narr! ist die List gelungen?","<sp who=""#blum""><speaker>Blum</speaker><p>Narr! ist die List gelungen?</p></sp>","","<sp who=""#blum""><speaker>Blum</speaker><p>Narr! ist die List gelungen?</p></sp>"
"228",228,"Krips.
Sie wäre ganz sicher gelungen, aber ein einziger
kleiner Umstand hat alles verdorben.","Krips. Sie wäre ganz sicher gelungen, aber ein einziger kleiner Umstand hat alles verdorben.","<sp who=""#krips""><speaker>Krips</speaker><p>Sie wäre ganz sicher gelungen, aber ein einziger kleiner Umstand hat alles verdorben.</p></sp>","","<sp who=""#krips""><speaker>Krips</speaker><p>Sie wäre ganz sicher gelungen, aber ein einziger kleiner Umstand hat alles verdorben.</p></sp>"
"229",229,"Blum.
Hat er meine Handschrift erkannt?","Blum. Hat er meine Handschrift erkannt?","<sp who=""#blum""><speaker>Blum</speaker><p>Hat er meine Handschrift erkannt?</p></sp>","","<sp who=""#blum""><speaker>Blum</speaker><p>Hat er meine Handschrift erkannt?</p></sp>"
"230",230,"Krips.
Das eben nicht.","Krips. Das eben nicht.","<sp who=""#krips""><speaker>Krips</speaker><p>Das eben nicht.</p></sp>","","<sp who=""#krips""><speaker>Krips</speaker><p>Das eben nicht.</p></sp>"
"231",231,"Blum.
Vermuthlich warst Du ein Dummkopf und hast Dich
verrathen?","Blum. Vermuthlich warst Du ein Dummkopf und hast Dich verrathen?","<sp who=""#blum""><speaker>Blum</speaker><p>Vermuthlich warst Du ein Dummkopf und hast Dich verrathen?</p></sp>","","<sp who=""#blum""><speaker>Blum</speaker><p>Vermuthlich warst Du ein Dummkopf und hast Dich verrathen?</p></sp>"
"232",232,"Krips.
Keinesweges, aber die gnädige Frau Mamma hat
uns den verdammten Streich gespielt, schon vor zehn
Jahren zu sterben.","Krips. Keinesweges, aber die gnädige Frau Mamma hat uns den verdammten Streich gespielt, schon vor zehn Jahren zu sterben.","<sp who=""#krips""><speaker>Krips</speaker><p>Keinesweges, aber die gnädige Frau Mamma hat uns den verdammten Streich gespielt, schon vor zehn Jahren zu sterben.</p></sp>","","<sp who=""#krips""><speaker>Krips</speaker><p>Keinesweges, aber die gnädige Frau Mamma hat uns den verdammten Streich gespielt, schon vor zehn Jahren zu sterben.</p></sp>"
"233",233,"Blum.
Verflucht! das war dumm.","Blum. Verflucht! das war dumm.","<sp who=""#blum""><speaker>Blum</speaker><p>Verflucht! das war dumm.</p></sp>","","<sp who=""#blum""><speaker>Blum</speaker><p>Verflucht! das war dumm.</p></sp>"
"234",234,"Krips.
So geht es mit den meisten Menschen, die man in
ihrem ganzen Leben nicht braucht; hat man sie endlich
einmal nöthig, so sind sie gestorben.","Krips. So geht es mit den meisten Menschen, die man in ihrem ganzen Leben nicht braucht; hat man sie endlich einmal nöthig, so sind sie gestorben. [98] ","<sp who=""#krips""><speaker>Krips</speaker><p>So geht es mit den meisten Menschen, die man in ihrem ganzen Leben nicht braucht; hat man sie endlich einmal nöthig, so sind sie gestorben. <pb no=""98""/> </p></sp>","","<sp who=""#krips""><speaker>Krips</speaker><p>So geht es mit den meisten Menschen, die man in ihrem ganzen Leben nicht braucht; hat man sie endlich einmal nöthig, so sind sie gestorben. <pb no=""98""/> </p></sp>"
"235",235,"[98] Blum.
Immerhin. Ein vorsichtiger Jäger hat mehr als
Einen Schuß in der Tasche.","Blum. Immerhin. Ein vorsichtiger Jäger hat mehr als Einen Schuß in der Tasche.","<sp who=""#blum""><speaker>Blum</speaker><p>Immerhin. Ein vorsichtiger Jäger hat mehr als Einen Schuß in der Tasche.</p></sp>","","<sp who=""#blum""><speaker>Blum</speaker><p>Immerhin. Ein vorsichtiger Jäger hat mehr als Einen Schuß in der Tasche.</p></sp>"
"236",236,"Krips.
Ich sehe meinen Herrn und mache eine retrograde
Bewegung.","Krips. Ich sehe meinen Herrn und mache eine retrograde Bewegung.","<sp who=""#krips""><speaker>Krips</speaker><p>Ich sehe meinen Herrn und mache eine retrograde Bewegung.</p></sp>","","<sp who=""#krips""><speaker>Krips</speaker><p>Ich sehe meinen Herrn und mache eine retrograde Bewegung.</p></sp>"
"237",237,"Blum.
Der Ziegelbrenner wird doch Wort halten?","Blum. Der Ziegelbrenner wird doch Wort halten?","<sp who=""#blum""><speaker>Blum</speaker><p>Der Ziegelbrenner wird doch Wort halten?</p></sp>","","<sp who=""#blum""><speaker>Blum</speaker><p>Der Ziegelbrenner wird doch Wort halten?</p></sp>"
"238",238,"Krips.
Er zog schon hinaus mit der brennenden Lunte,
(ab.)","Krips. Er zog schon hinaus mit der brennenden Lunte, (ab.)","<sp who=""#krips""><speaker>Krips</speaker><p>Er zog schon hinaus mit der brennenden Lunte, (ab.)</p></sp>","","<sp who=""#krips""><speaker>Krips</speaker><p>Er zog schon hinaus mit der brennenden Lunte, (ab.)</p></sp>"
"239",239,"Blum (ruft ihm nach).
Entferne Dich nur nicht zu weit.","Blum (ruft ihm nach). Entferne Dich nur nicht zu weit.","<sp who=""#blum""><speaker>Blum</speaker><stage>(ruft ihm nach).</stage><p> Entferne Dich nur nicht zu weit.</p></sp>","","<sp who=""#blum""><speaker>Blum</speaker><stage>(ruft ihm nach).</stage><p> Entferne Dich nur nicht zu weit.</p></sp></div>"
"240",240,"","","","",NA
"241",241,"Zehnte Scene.","Zehnte Scene.","Zehnte Scene.","",NA
"242",242,"Zehnte Scene.","Zehnte Scene.","<div type=""scene""><head>Zehnte Scene.</head>","","<div type=""scene""><head>Zehnte Scene.</head>"
"243",243,"Thal. Blum. Zauser (verkleidet mit einem Pflaster auf dem Auge).","Thal. Blum. Zauser (verkleidet mit einem Pflaster auf dem Auge).","Thal. Blum. Zauser (verkleidet mit einem Pflaster auf dem Auge).","",NA
"244",244,"Thal. Blum. Zauser (verkleidet mit einem Pflaster auf dem Auge).","Thal. Blum. Zauser (verkleidet mit einem Pflaster auf dem Auge).","<stage>Thal. Blum. Zauser (verkleidet mit einem Pflaster auf dem Auge).</stage>","","<stage>Thal. Blum. Zauser (verkleidet mit einem Pflaster auf dem Auge).</stage>"
